transaction_date,spending_type,category,subcategory,merchant_name,amount,description
2025-01-25,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,93000.0,
2025-01-25,Kebutuhan,Food,Dinner,Warung Pak Budi,97000.0,
2025-01-26,Kebutuhan,Transportation,Parking,Secure Parking,7000.0,
2025-01-27,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,163000.0,
2025-01-27,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,24000.0,
2025-01-28,Kebutuhan,Food,Dinner,Warung Pak Budi,106000.0,
2025-01-28,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,261000.0,
2025-01-28,Keinginan,Relationship,Brother / Sister,GoPay Transfer,100000.0,
2025-01-28,Kebutuhan,Life,Work,Grab Office,22000.0,
2025-01-29,Kebutuhan,Transportation,Parking,EasyPark,13000.0,
2025-01-29,Kebutuhan,Food,Lunch,Geprek Bensu,39000.0,
2025-01-29,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,93000.0,
2025-01-30,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,266000.0,
2025-01-30,Kebutuhan,Food,Dinner,Warteg Bu Siti,109000.0,
2025-01-31,Keinginan,Other,,Transfer Dana,100000.0,
2025-01-31,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,32000.0,
2025-01-31,Keinginan,Relationship,Girlfriend,Senayan City,294000.0,
2025-02-01,Keinginan,Food,Beverages,Teh Pucuk,44000.0,
2025-02-01,Kebutuhan,Food,Dinner,Warteg Bu Siti,76000.0,
2025-02-01,Keinginan,Transportation,Motorcycle,Bengkel Spesialis Matic,243000.0,
2025-02-01,Keinginan,Food,Lunch,Pizza Hut,119000.0,
2025-02-01,Keinginan,Life,Wedding Preps,Catering Survey,2852000.0,
2025-02-03,Kebutuhan,Transportation,Fuel,Shell,60000.0,
2025-02-03,Keinginan,Pet,Medicine,Vet Apothecary,56000.0,
2025-02-03,Keinginan,Relationship,Girlfriend,AEON Mall,70000.0,
2025-02-03,Kebutuhan,Food,Beverages,Circle K,6000.0,
2025-02-04,Keinginan,Relationship,Parents,Transfer BCA,209000.0,
2025-02-04,Keinginan,Relationship,Girlfriend,AEON Mall,146000.0,
2025-02-04,Kebutuhan,Transportation,Parking,Secure Parking,18000.0,
2025-02-04,Kebutuhan,Transportation,Fuel,BP,94000.0,
2025-02-04,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,122000.0,
2025-02-04,Keinginan,Food,Beverages,Janji Jiwa,28000.0,
2025-02-05,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,310000.0,
2025-02-05,Kebutuhan,Transportation,Fuel,BP,46000.0,
2025-02-05,Keinginan,Relationship,Girlfriend,AEON Mall,58000.0,
2025-02-05,Kebutuhan,Transportation,Parking,EasyPark,12000.0,
2025-02-06,Kebutuhan,Household,Household Assistance,House Cleaning Service,206000.0,
2025-02-06,Kebutuhan,Transportation,Toll,e-Toll Mandiri,75000.0,
2025-02-06,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,329000.0,
2025-02-07,Keinginan,Food,Dinner,Pepper Lunch,177000.0,
2025-02-07,Kebutuhan,Transportation,Parking,Secure Parking,27000.0,
2025-02-07,Kebutuhan,Household,Electric,PLN Token,412000.0,
2025-02-08,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,39000.0,
2025-02-08,Kebutuhan,Health,Health,Puskesmas,90000.0,
2025-02-08,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,230000.0,
2025-02-08,Kebutuhan,Food,Lunch,Geprek Bensu,76000.0,
2025-02-08,Keinginan,Relationship,Girlfriend,Senayan City,362000.0,
2025-02-08,Kebutuhan,Food,Dinner,Warung Pak Budi,52000.0,
2025-02-08,Keinginan,Culture,Apps,Netflix,22000.0,
2025-02-09,Keinginan,Pet,Appliances,Petco,191000.0,
2025-02-09,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,47000.0,
2025-02-09,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,333000.0,
2025-02-09,Kebutuhan,Food,Lunch,Bakso Akbar,80000.0,
2025-02-10,Keinginan,Relationship,Girlfriend,AEON Mall,33000.0,
2025-02-10,Kebutuhan,Transportation,Toll,e-Toll Mandiri,46000.0,
2025-02-11,Kebutuhan,Gift,Charity,Masjid Al-Ikhlas,154000.0,
2025-02-11,Kebutuhan,Transportation,Fuel,Vivo,46000.0,
2025-02-12,Keinginan,Household,Household Assistance,Laundry Express,136000.0,
2025-02-12,Keinginan,Culture,Apps,YouTube Premium,37000.0,
2025-02-12,Keinginan,Relationship,Girlfriend,Senayan City,379000.0,
2025-02-12,Kebutuhan,"Communication, PC",Internet,First Media,195000.0,
2025-02-13,Keinginan,Pet,Litter,Shopee Pet Store,102000.0,
2025-02-13,Kebutuhan,Transportation,Fuel,BP,79000.0,
2025-02-14,Keinginan,Relationship,Girlfriend,Plaza Indonesia,165000.0,
2025-02-15,Kebutuhan,Food,Lunch,Kantin Pak RT,88000.0,
2025-02-16,Kebutuhan,Food,Beverages,Indomaret,29000.0,
2025-02-16,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,45000.0,
2025-02-16,Kebutuhan,Food,Breakfast,Bubur Ayam Pak Haji,30000.0,
2025-02-16,Keinginan,Pet,Medicine,Petshop Paws,125000.0,
2025-02-17,Keinginan,Relationship,Girlfriend,Plaza Indonesia,135000.0,
2025-02-17,Keinginan,Relationship,Girlfriend,AEON Mall,44000.0,
2025-02-17,Kebutuhan,Food,Dinner,RM Sunda Kelapa,81000.0,
2025-02-17,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,216000.0,
2025-02-18,Keinginan,Life,Work,Freelance Tools,73000.0,
2025-02-18,Kebutuhan,"Communication, PC",Internet,Biznet,175000.0,
2025-02-18,Keinginan,Relationship,Girlfriend,Plaza Indonesia,366000.0,
2025-02-18,Keinginan,Food,Beverages,Teh Pucuk,21000.0,
2025-02-18,Kebutuhan,"Communication, PC",Internet,Biznet,115000.0,
2025-02-19,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,211000.0,
2025-02-19,Kebutuhan,Household,Household Assistance,House Cleaning Service,495000.0,
2025-02-20,Keinginan,Relationship,Girlfriend,Plaza Indonesia,120000.0,
2025-02-21,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,279000.0,
2025-02-21,Keinginan,Relationship,Girlfriend,AEON Mall,312000.0,
2025-02-21,Keinginan,Pet,Food,Royal Canin Store,120000.0,
2025-02-21,Keinginan,Life,Travel,Traveloka,1484000.0,
2025-02-22,Keinginan,Culture,Books,Tokopedia Books,86000.0,
2025-02-22,Keinginan,Relationship,Work Colleagues,Kantin Kantor,102000.0,
2025-02-23,Kebutuhan,Food,Dinner,RM Sunda Kelapa,83000.0,
2025-02-23,Kebutuhan,Food,Dinner,RM Sunda Kelapa,74000.0,
2025-02-23,Kebutuhan,Food,Lunch,Kantin Pak RT,22000.0,
2025-02-23,Kebutuhan,Food,Breakfast,Bubur Ayam Pak Haji,43000.0,
2025-02-23,Keinginan,Relationship,Girlfriend,Plaza Indonesia,149000.0,
2025-02-23,Keinginan,Pet,Vet,Drh. Pratama Clinic,193000.0,
2025-02-23,Keinginan,Food,Beverages,Teh Pucuk,12000.0,
2025-02-23,Keinginan,Food,Beverages,Kopi Kenangan,37000.0,
2025-02-24,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,281000.0,
2025-02-24,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,22000.0,
2025-02-24,Kebutuhan,Food,Lunch,Bakso Akbar,53000.0,
2025-02-25,Kebutuhan,Household,Bath,Indomaret,26000.0,
2025-02-25,Keinginan,Pet,Grooming,Petshop Bersih,157000.0,
2025-02-25,Kebutuhan,Food,Lunch,Bakso Akbar,28000.0,
2025-02-25,Kebutuhan,Transportation,Fuel,Pertamina,78000.0,
2025-02-25,Kebutuhan,Food,Dinner,Warung Pak Budi,59000.0,
2025-02-25,Keinginan,Relationship,Work Colleagues,Kantin Kantor,142000.0,
2025-02-25,Keinginan,Relationship,Girlfriend,Plaza Indonesia,81000.0,
2025-02-25,Keinginan,Pet,Litter,Petco,84000.0,
2025-02-25,Kebutuhan,Transportation,Fuel,Shell,38000.0,
2025-02-25,Keinginan,Pet,Appliances,Petco,470000.0,
2025-02-25,Kebutuhan,Apparel,Laundry,Laundry Kiloan Bu Yanti,46000.0,
2025-02-26,Kebutuhan,Transportation,Fuel,BP,48000.0,
2025-02-26,Kebutuhan,Transportation,Fuel,Vivo,76000.0,
2025-02-26,Keinginan,Relationship,Girlfriend,Senayan City,332000.0,
2025-02-26,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,76000.0,
2025-02-27,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,73000.0,
2025-02-27,Kebutuhan,"Communication, PC",Internet,Indihome,159000.0,
2025-02-27,Kebutuhan,Household,Household Assistance,House Cleaning Service,183000.0,
2025-02-27,Keinginan,Food,Dinner,Kimukatsu,229000.0,
2025-02-27,Kebutuhan,Transportation,Toll,Flazz BCA,73000.0,
2025-02-27,Keinginan,Relationship,Girlfriend,Plaza Indonesia,264000.0,
2025-02-28,Kebutuhan,Food,Dinner,RM Sunda Kelapa,54000.0,
2025-02-28,Keinginan,Household,Appliances,Electronic City,410000.0,
2025-02-28,Keinginan,Relationship,Girlfriend,Plaza Indonesia,299000.0,
2025-02-28,Kebutuhan,Transportation,Motorcycle,AHASS Honda,181000.0,
2025-02-28,Keinginan,Pet,Medicine,Vet Apothecary,272000.0,
2025-03-01,Keinginan,"Communication, PC",Games,Steam,159000.0,
2025-03-01,Kebutuhan,Household,Kitchen,Carrefour,103000.0,
2025-03-02,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,61000.0,
2025-03-02,Kebutuhan,Transportation,Fuel,Shell,41000.0,
2025-03-04,Kebutuhan,Food,Dinner,Warteg Bu Siti,110000.0,
2025-03-04,Keinginan,Life,Wedding Preps,Wedding Organizer,3229000.0,
2025-03-06,Keinginan,Education,E-Books,Kindle Store,52000.0,
2025-03-06,Keinginan,Relationship,Friend,Pisa Kafe,47000.0,
2025-03-06,Kebutuhan,Transportation,Fuel,Pertamina,76000.0,
2025-03-08,Keinginan,Pet,Appliances,Tokopedia Pet,102000.0,
2025-03-08,Keinginan,Relationship,Girlfriend,AEON Mall,89000.0,
2025-03-08,Keinginan,Food,Beverages,Fore Coffee,35000.0,
2025-03-08,Kebutuhan,Beauty,Beauty,Markas Barbershop,85000.0,
2025-03-08,Keinginan,Relationship,Nephew / Niece,Indomaret,115000.0,
2025-03-08,Kebutuhan,Transportation,Fuel,Shell,46000.0,
2025-03-09,Keinginan,Life,Work,Freelance Tools,370000.0,
2025-03-09,Kebutuhan,Transportation,Fuel,BP,47000.0,
2025-03-09,Kebutuhan,Transportation,Toll,Flazz BCA,33000.0,
2025-03-09,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,71000.0,
2025-03-09,Kebutuhan,Food,Dinner,Warung Pak Budi,85000.0,
2025-03-10,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,344000.0,
2025-03-10,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,273000.0,
2025-03-10,Kebutuhan,Food,Lunch,Kantin Pak RT,58000.0,
2025-03-10,Keinginan,Pet,Medicine,Vet Apothecary,73000.0,
2025-03-10,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,57000.0,
2025-03-10,Kebutuhan,Life,Travel,KAI Access,169000.0,
2025-03-10,Kebutuhan,Transportation,Fuel,Pertamina,47000.0,
2025-03-11,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,390000.0,
2025-03-11,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,44000.0,
2025-03-11,Keinginan,Culture,Books,Gramedia,181000.0,
2025-03-11,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,83000.0,
2025-03-11,Kebutuhan,Household,Bath,Guardian,66000.0,
2025-03-11,Keinginan,Relationship,Girlfriend,AEON Mall,216000.0,
2025-03-12,Kebutuhan,Transportation,Online Ride,Gojek,43000.0,
2025-03-12,Keinginan,Life,"Massage, Therapy",Spa Sehat,188000.0,
2025-03-13,Keinginan,Relationship,Girlfriend,AEON Mall,102000.0,
2025-03-13,Kebutuhan,Food,Dinner,Warung Pak Budi,92000.0,
2025-03-14,Keinginan,Culture,Apps,Disney+,33000.0,
2025-03-14,Kebutuhan,Transportation,Fuel,Shell,32000.0,
2025-03-15,Kebutuhan,Food,Dinner,Warteg Bu Siti,85000.0,
2025-03-15,Kebutuhan,Transportation,Fuel,Shell,42000.0,
2025-03-15,Tabungan,Other,,Dana Darurat BCA,1440000.0,
2025-03-15,Kebutuhan,Transportation,Fuel,Pertamina,97000.0,
2025-03-16,Keinginan,Relationship,Girlfriend,AEON Mall,368000.0,
2025-03-16,Keinginan,Life,Travel,Tiket.com,803000.0,
2025-03-17,Keinginan,Other,,OVO Wallet,13000.0,
2025-03-17,Kebutuhan,Transportation,Motorcycle,AHASS Honda,187000.0,
2025-03-18,Kebutuhan,Apparel,Pants,H&M,300000.0,
2025-03-18,Keinginan,Food,Dinner,Shaburi,243000.0,
2025-03-18,Kebutuhan,Food,Beverages,Indomaret,29000.0,
2025-03-18,Kebutuhan,"Communication, PC",Internet,First Media,434000.0,
2025-03-18,Keinginan,Relationship,Girlfriend,AEON Mall,139000.0,
2025-03-19,Keinginan,Food,Beverages,Teh Pucuk,27000.0,
2025-03-19,Keinginan,Household,Kitchen,Tokopedia,260000.0,
2025-03-19,Kebutuhan,Food,Dinner,Warung Pak Budi,52000.0,
2025-03-19,Kebutuhan,Food,Beverages,Circle K,9000.0,
2025-03-20,Kebutuhan,Food,Dinner,RM Sunda Kelapa,76000.0,
2025-03-20,Keinginan,"Communication, PC",Games,Steam,188000.0,
2025-03-21,Kebutuhan,Transportation,Toll,e-Toll Mandiri,59000.0,
2025-03-21,Keinginan,Relationship,Girlfriend,Senayan City,241000.0,
2025-03-21,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,66000.0,
2025-03-22,Keinginan,Pet,Vet,Jakarta Animal Hospital,408000.0,
2025-03-22,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,396000.0,
2025-03-23,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,26000.0,
2025-03-23,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,72000.0,
2025-03-23,Keinginan,Relationship,Girlfriend,AEON Mall,355000.0,
2025-03-24,Kebutuhan,Food,Dinner,Warteg Bu Siti,94000.0,
2025-03-24,Kebutuhan,Household,Household Assistance,House Cleaning Service,394000.0,
2025-03-24,Kebutuhan,Food,Beverages,Indomaret,23000.0,
2025-03-24,Keinginan,Relationship,Parents,Transfer BCA,140000.0,
2025-03-25,Kebutuhan,Food,Lunch,Bakso Akbar,37000.0,
2025-03-26,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,329000.0,
2025-03-26,Kebutuhan,Transportation,Motorcycle,Bengkel Jaya Motor,166000.0,
2025-03-28,Keinginan,Relationship,Girlfriend,Plaza Indonesia,351000.0,
2025-03-29,Keinginan,Relationship,Girlfriend,Plaza Indonesia,368000.0,
2025-03-29,Keinginan,Relationship,Girlfriend,AEON Mall,219000.0,
2025-03-30,Kebutuhan,Health,Medicine,Kimia Farma,78000.0,
2025-03-30,Keinginan,Relationship,Girlfriend,Senayan City,325000.0,
2025-03-30,Kebutuhan,Food,Breakfast,Bubur Ayam Pak Haji,36000.0,
2025-03-31,Keinginan,"Communication, PC",Games,Codashop,145000.0,
2025-03-31,Keinginan,Pet,Litter,Shopee Pet Store,130000.0,
2025-04-01,Keinginan,Household,Household Assistance,Laundry Express,367000.0,
2025-04-01,Keinginan,Food,Beverages,Fore Coffee,25000.0,
2025-04-01,Keinginan,"Communication, PC",Games,Steam,84000.0,
2025-04-01,Keinginan,Culture,Sports,Futsal Arena,32000.0,
2025-04-02,Kebutuhan,Household,Repair,Bengkel AC,216000.0,
2025-04-03,Keinginan,Pet,Appliances,Petco,114000.0,
2025-04-03,Kebutuhan,Transportation,Fuel,BP,63000.0,
2025-04-03,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,56000.0,
2025-04-03,Kebutuhan,Transportation,Fuel,Pertamina,50000.0,
2025-04-03,Kebutuhan,Transportation,Fuel,Shell,71000.0,
2025-04-04,Kebutuhan,Food,Beverages,Lawson,6000.0,
2025-04-04,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,24000.0,
2025-04-04,Keinginan,Pet,Food,Petco,220000.0,
2025-04-04,Keinginan,Culture,Sports,Futsal Arena,67000.0,
2025-04-05,Keinginan,Pet,Grooming,Petshop Bersih,95000.0,
2025-04-05,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,54000.0,
2025-04-05,Kebutuhan,"Communication, PC",Accesories,Shopee,159000.0,
2025-04-06,Keinginan,Relationship,Girlfriend,Plaza Indonesia,110000.0,
2025-04-06,Keinginan,Household,Household Assistance,Laundry Express,287000.0,
2025-04-07,Keinginan,Life,Travel,Lion Air,262000.0,
2025-04-07,Kebutuhan,Apparel,Laundry,Express Laundry,17000.0,
2025-04-08,Keinginan,Pet,Grooming,Cat Spa Jakarta,144000.0,
2025-04-08,Kebutuhan,Household,Electric,PLN Prepaid,293000.0,
2025-04-08,Kebutuhan,Gift,Charity,UNICEF Indonesia,209000.0,
2025-04-08,Keinginan,Pet,Grooming,Petshop Bersih,167000.0,
2025-04-09,Keinginan,"Communication, PC",Games,UniPin,196000.0,
2025-04-09,Kebutuhan,Apparel,Laundry,Express Laundry,33000.0,
2025-04-09,Kebutuhan,Food,Dinner,RM Sunda Kelapa,52000.0,
2025-04-09,Kebutuhan,Food,Dinner,Warteg Bu Siti,100000.0,
2025-04-09,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,47000.0,
2025-04-09,Kebutuhan,Transportation,Parking,EasyPark,16000.0,
2025-04-10,Kebutuhan,Transportation,Fuel,BP,35000.0,
2025-04-10,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,23000.0,
2025-04-10,Keinginan,Relationship,Girlfriend,Pondok Indah Mall,386000.0,
2025-04-10,Keinginan,Culture,Apps,Apple Music,69000.0,
2025-04-10,Kebutuhan,Food,Beverages,Alfamart,22000.0,
2025-04-10,Kebutuhan,Transportation,Motorcycle,Yamaha Service,94000.0,
2025-04-11,Keinginan,Household,Appliances,Samsung Store,304000.0,
2025-04-11,Keinginan,Food,Beverages,Teh Pucuk,17000.0,
2025-04-11,Kebutuhan,Food,Dinner,Warung Pak Budi,45000.0,
2025-04-12,Keinginan,Life,Work,Notion,297000.0,
2025-04-12,Keinginan,Other,,Transfer Dana,146000.0,
2025-04-12,Kebutuhan,Food,Dinner,Warteg Bu Siti,86000.0,
2025-04-12,Kebutuhan,Food,Dinner,RM Sunda Kelapa,48000.0,
2025-04-12,Keinginan,Food,Lunch,A&W,193000.0,
2025-04-12,Keinginan,Relationship,Girlfriend,Senayan City,303000.0,
2025-04-13,Keinginan,Culture,Apps,Netflix,51000.0,
2025-04-13,Kebutuhan,Household,Cleaning Tools,Indomaret,57000.0,
2025-04-13,Keinginan,Life,"Massage, Therapy",Thai Massage,172000.0,
2025-04-14,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,45000.0,
2025-04-14,Kebutuhan,Food,Lunch,Geprek Bensu,42000.0,
2025-04-14,Kebutuhan,Gift,Charity,Yayasan Peduli,239000.0,
2025-04-14,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,21000.0,
2025-04-15,Keinginan,Relationship,Girlfriend,Plaza Indonesia,73000.0,
2025-04-15,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,25000.0,
2025-04-15,Kebutuhan,Food,Lunch,Bakso Akbar,18000.0,
2025-04-15,Keinginan,Life,Wedding Preps,Catering Survey,4350000.0,
2025-04-17,Kebutuhan,Food,Dinner,Nasi Padang Sederhana,90000.0,
2025-04-17,Kebutuhan,Transportation,Motorcycle,Yamaha Service,105000.0,
2025-04-17,Kebutuhan,Apparel,Shoes,Nike,259000.0,
2025-04-18,Kebutuhan,Household,Bath,Alfamart,44000.0,
2025-04-18,Kebutuhan,Beauty,Beauty,Pangkas Rambut Jaya,74000.0,
2025-04-19,Kebutuhan,Food,Lunch,Nasi Uduk Bang Udin,28000.0,
2025-04-19,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,48000.0,
2025-04-19,Keinginan,Household,Kitchen,IKEA,138000.0,
2025-04-19,Kebutuhan,Food,Beverages,Alfamart,20000.0,
2025-04-20,Kebutuhan,Household,Bath,Indomaret,54000.0,
2025-04-20,Keinginan,Food,Beverages,Janji Jiwa,12000.0,
2025-04-20,Kebutuhan,Beauty,Beauty,Pangkas Rambut Jaya,69000.0,
2025-04-21,Kebutuhan,Food,Lunch,Mie Ayam Pak Dhe,62000.0,
2025-04-21,Kebutuhan,Food,Dinner,Warung Pak Budi,70000.0,
2025-04-21,Kebutuhan,Food,Dinner,Ayam Bakar Mas Agus,106000.0,
2025-04-21,Kebutuhan,Household,Bath,Alfamart,56000.0,
2025-04-21,Kebutuhan,Transportation,Fuel,Shell,41000.0,
2025-04-21,Kebutuhan,Food,Lunch,Bakso Akbar,20000.0,
2025-04-21,Kebutuhan,Food,Dinner,RM Sunda Kelapa,84000.0,
2025-04-22,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,40000.0,
2025-04-22,Keinginan,Relationship,Girlfriend,Plaza Indonesia,247000.0,
2025-04-23,Keinginan,Relationship,Girlfriend,Grand Indonesia Mall,378000.0,
2025-04-23,Keinginan,Relationship,Girlfriend,Senayan City,243000.0,
2025-04-24,Keinginan,Life,Work,Freelance Tools,225000.0,
2025-04-24,Keinginan,Pet,Food,Whiskas Direct,189000.0,
2025-04-24,Keinginan,Relationship,Girlfriend,AEON Mall,200000.0,
